dawdawd,Title,Price,Location,Condition,ScrapeDate,Region
,iPhone 13 mini 128gb,1250,Gdynia,Używane,2025-05-11,pomorskie
,Dwa Iphone xs na czesci,200,Gdańsk,Uszkodzone,2025-05-11,pomorskie
,"Iphone 14, 128 GB",1400,Puck ,Używane,2025-05-11,pomorskie
,iPhone 11 128GB Black,650,Rumia ,Używane,2025-05-11,pomorskie
,Iphone 15 Plus 100%,2500,Kochanowo ,Używane,2025-05-11,pomorskie
,Iphone 15 PRO 128gb,3200,Słupsk ,Używane,2025-05-11,pomorskie
,IPhone XS 256GB 100% kondycji baterii,600,Gdańsk,Używane,2025-05-11,pomorskie
,iPhone 16pro fabrycznie Nowy 256!!!,3999,Słupsk ,Nowe,2025-05-11,pomorskie
,iPhone 12 mini 88% baterii,650,Gdańsk,Używane,2025-05-11,pomorskie
,IPHONE 14 IDEALNY STAN 86% kondycji BIAŁY oryginalny 128GB,1700,Gdańsk,Używane,2025-05-11,pomorskie
,Iphone 12 pro 128GB złoty,1200,Sopot,Używane,2025-05-11,pomorskie
,Zadbany iPhone 11 128gb ksieżycowa poświata- prawie jak nowy!,720,Gdańsk,Używane,2025-05-11,pomorskie
,Iphone 15 128 GB,1999,Gdynia,Używane,2025-05-11,pomorskie
,IPhone-128-GB.stan nie używany.jak nowy.Hinski..,200,Chojnice ,Nowe,2025-05-11,pomorskie
,iPhone   14. Plus,1900,Czarna Woda ,Używane,2025-05-11,pomorskie
,"iPhone 11 128 GB (PRODUCT)RED, świetny stan",999,Gdańsk,Używane,2025-05-11,pomorskie
,Iphone 14 Pro Max 256 purple,2000,Słupsk ,Używane,2025-05-11,pomorskie
,"iPhone 11 zadbany, stan bdb.",600,Łęgowo ,Używane,2025-05-11,pomorskie
,NOWY iphone 14 pro 128GB PRO fioletowy purple,2499,Gdańsk,Nowe,2025-05-11,pomorskie
,IPHONE 13PRO 256gb,2000,Gdynia,Używane,2025-05-11,pomorskie
,IPhone 12 // 100% Kondycji Baterii !!,850,Lublin ,Używane,2025-05-10,polska
,IPHONE 16 128GB KOLORY!! M-GSM Port Łódź Pabianicka 245,3059,Łódź,Nowe,2025-05-10,polska
,"Apple Iphone Xr 64 GB biały, 11, 12",500,Nowy Targ ,Używane,2025-05-10,polska
,IPhone XR 128 GB,630,Przecław ,Używane,2025-05-10,polska
,iPhone X 100% kondycji,400,Mirzec ,Używane,2025-05-10,polska
,iPhone 15 128 GB,2100,Oblin ,Używane,2025-05-10,polska
,Iphone 15 Pro | Tytan Naturalny | Gwarancja,3400,Glinno ,Używane,2025-05-10,polska
," iPhone 16 Pro, 256GB Titanium Desert Pustynny, Black, White Natural",4699,Zabrze ,Nowe,2025-05-10,polska
,IDEALNY iPhone 14 128GB Purple,1750,Oborniki ,Używane,2025-05-10,polska
,iPhone 11 Pro Max 64gb Space Grey,2000,Warszawa,Używane,2025-05-10,polska
,Iphone 11 128gb 71% kondycja baterii,450,Gliwice,Używane,2025-05-10,polska
,"Nowy IPhone 13pro, niebieski",4600,Limanowa ,Nowe,2025-05-10,polska
,Iphone 15 pro idealny  stan 100% kondycji,3350,Siedlce ,Używane,2025-05-10,polska
,Apple iPhone 12 64GB BLACK jak nowy 87% baterii 6msc gwarancji,1199,Poznań,Używane,2025-05-11,polska
,Iphone 13 Red 128  Gb,900,Marki ,Używane,2025-05-11,polska
,iPhone 7 Apple telefon,400,Warszawa,Używane,2025-05-11,polska
,iPhone 16 128GB Biały,2900,Wieliczka ,Używane,2025-05-11,polska
,Iphone 12 64gb biały,800,Wrocław,Używane,2025-05-11,polska
,Piekny iPhone 14 Pro Max 256 GB bat 94% Wroclaw Sklep,2899,Wrocław,Używane,2025-05-11,polska
,IPhone 12 Mini | 64GB | White | GW3 | A2399,850,Zawiercie,Używane,2025-05-11,polska
,iPhone 13 128 gb,1100,Płock ,Używane,2025-05-11,polska
,Iphone 14pro 128gb/zamiana,3000,Lublin ,Używane,2025-05-11,polska
,"iPhone 7+, 128Gb, uszkodzony",250,Łódź,Uszkodzone,2025-05-11,polska
,iPhone 12 mini blue,750,Radom ,Używane,2025-05-11,polska
,Apple IPhone 15 Pro Max 512GB Blue  Poznań Długa 14,3999,Poznań,Używane,2025-05-11,polska
,iPhone 6 s srebrny 16 GB,110,Warszawa,Używane,2025-05-11,polska
,iPhone 12 Mini Idealny,700,Mirzec ,Używane,2025-05-11,polska
,Sprzedam iphone 12,1100,Katowice,Używane,2025-05-11,polska
,Iphone 15 pro 91% kondycja baterii,3500,Warszawa,Używane,2025-05-11,polska
,Używany iphone 11 pro,500,Warszawa,Używane,2025-05-11,polska
,NOWE iPhone 15 Pro Max 256GB Biały Naturalny Tytan AL JANA PAWŁA,4699,Warszawa,Nowe,2025-05-11,polska
,"Apple Iphone Xr 64 GB biały, 11, 12",500,Nowy Targ ,Używane,2025-05-11,polska
,IPhone XR 128 GB,630,Przecław ,Używane,2025-05-11,polska
,iPhone X 100% kondycji,400,Mirzec ,Używane,2025-05-11,polska
,iPhone 15 128 GB,2100,Oblin ,Używane,2025-05-11,polska
,Iphone 15 Pro | Tytan Naturalny | Gwarancja,3400,Glinno ,Używane,2025-05-11,polska
,"Iphone 16 pro max 256gb black titanium, FABRYCZNIE NOWY, Wawa",4999,Warszawa,Nowe,2025-05-11,polska
,iPhone 11 Pro Max 64gb Space Grey,2000,Warszawa,Używane,2025-05-11,polska
,IPhone 15 czarny,2100,Gubin ,Używane,2025-05-11,polska
,Iphone 11 128gb 71% kondycja baterii,450,Gliwice,Używane,2025-05-11,polska
,"Nowy IPhone 13pro, niebieski",4600,Limanowa ,Nowe,2025-05-11,polska
,Iphone 13 Red 128  Gb,900,Marki ,Używane,2025-05-11,polska
,iPhone 7 Apple telefon,400,Warszawa,Używane,2025-05-11,polska
,Iphone 15 pro max jak nowy,3400,Jarosław ,Używane,2025-05-11,polska
,iPhone 16 128GB Biały,2900,Wieliczka ,Używane,2025-05-11,polska
